YEAR,BENE_GEO_DESC,Avg_Payment_Per_Capita
2014,OH-Columbiana,9700.48
2014,OH-Crawford,9580.6
2014,OH-Cuyahoga,10656.51
2014,OH-Darke,8658.58
2014,OH-Delaware,8673.11
2014,OH-Erie,9735.42
2014,OH-Fairfield,9690.93
2014,OH-Franklin,10737.94
2014,OH-Fulton,9147.0
2014,OH-Geauga,8908.99
2014,OH-Greene,9361.5
2014,OH-Guernsey,9985.08
2014,OH-Hamilton,10673.42
2014,OH-Highland,9649.03
2014,OH-Huron,9095.76
2014,OH-Jefferson,10808.56
2014,OH-Knox,9518.11
2014,OH-Lake,9874.1
2014,OH-Lawrence,9511.9
2014,OH-Licking,8967.84
2014,OH-Logan,9163.47
2014,OH-Lorain,10292.09
2014,OH-Lucas,10888.27
2014,OH-Mahoning,9939.11
2014,OH-Marion,10048.71
2014,OH-Medina,8760.73
2014,OH-Miami,9294.85
2014,OH-Montgomery,10481.57
2014,OH-Muskingum,9721.95
2014,OH-Ottawa,9544.18
2014,OH-Portage,9231.96
2014,OH-Richland,8828.24
2014,OH-Ross,9740.99
2014,OH-Sandusky,8806.46
2014,OH-Scioto,11926.59
2014,OH-Seneca,7885.51
2014,OH-Shelby,8425.18
2014,OH-Stark,9360.22
2014,OH-Summit,10050.73
2014,OH-Trumbull,9818.49
2014,OH-Tuscarawas,8654.99
2014,OH-Van Wert,9050.04
2014,OH-Warren,9335.13
2014,OH-Washington,8958.36
2014,OH-Wayne,8334.66
2014,OH-Wood,9154.22
2014,OK,9450.106666666667
2014,OK-Atoka,11134.69
2014,OK-Beckham,9301.01
2014,OK-Blaine,9968.51
2014,OK-Bryan,11135.37
2014,OK-Caddo,9961.38
2014,OK-Canadian,8798.13
2014,OK-Carter,9531.15
2014,OK-Cherokee,8917.86
2014,OK-Choctaw,11334.72
2014,OK-Cleveland,9082.03
2014,OK-Comanche,8442.94
2014,OK-Cotton,9017.92
2014,OK-Creek,9319.78
2014,OK-Custer,9070.34
2014,OK-Delaware,8439.67
2014,OK-Garfield,8284.38
2014,OK-Garvin,9265.46
2014,OK-Grady,9323.43
2014,OK-Hughes,9271.41
2014,OK-Jackson,9975.53
2014,OK-Johnston,11014.32
2014,OK-Kay,8000.79
2014,OK-Kingfisher,10705.79
2014,OK-Kiowa,9446.6
2014,OK-Le Flore,9789.98
2014,OK-Lincoln,8883.77
2014,OK-Logan,9363.22
2014,OK-Marshall,10795.41
2014,OK-Mayes,9773.69
2014,OK-McClain,8829.66
2014,OK-McCurtain,9960.65
2014,OK-McIntosh,8873.68
2014,OK-Murray,10701.08
2014,OK-Muskogee,9760.16
2014,OK-Noble,7909.09
2014,OK-Okfuskee,8928.54
